Collection date,BA.5/BF.7/DY,XBB,EG.5/HK,Others,Dominant sublineages,,Year-Month,BA.5/BF.7/DY,XBB,EG.5/HK,Others,Dominant sublineages
2022/2/24,0,0,0,8,Others,,,,,,,
2022/2/25,0,0,0,14,Others,,,,,,,
2022/2/26,0,0,0,15,Others,,,,,,,
2022/2/27,0,0,0,23,Others,,,,,,,
2022/2/28,0,0,0,8,Others,,,,,,,
2022/3/1,0,0,0,14,Others,,,,,,,
2022/3/2,0,0,0,17,Others,,,,,,,
2022/3/3,0,0,0,14,Others,,,,,,,
2022/3/4,0,0,0,11,Others,,,,,,,
2022/3/5,0,0,0,10,Others,,,,,,,
2022/3/6,0,0,0,16,Others,,,,,,,
2022/3/7,0,0,0,17,Others,,,,,,,
2022/3/8,0,0,0,23,Others,,,,,,,
2022/3/9,0,0,0,27,Others,,,,,,,
2022/3/10,0,0,0,19,Others,,,,,,,
2022/3/11,0,0,0,49,Others,,,,,,,
2022/3/12,0,0,0,53,Others,,,,,,,
2022/3/13,0,0,0,42,Others,,,,,,,
2022/3/14,0,0,0,59,Others,,,,,,,
2022/3/15,0,0,0,32,Others,,,,,,,
2022/3/16,0,0,0,29,Others,,,,,,,
2022/3/17,0,0,0,21,Others,,,,,,,
2022/3/18,0,0,0,11,Others,,,,,,,
2022/3/19,0,0,0,25,Others,,,,,,,
2022/3/20,0,0,0,34,Others,,,,,,,
2022/3/21,0,0,0,31,Others,,,,,,,
2022/3/22,0,0,0,42,Others,,,,,,,
2022/3/23,0,0,0,21,Others,,,,,,,
2022/3/24,0,0,0,22,Others,,,,,,,
2022/3/25,0,0,0,27,Others,,,,,,,
2022/3/26,0,0,0,16,Others,,,,,,,
2022/3/27,0,0,0,9,Others,,,,,,,
2022/3/28,0,0,0,7,Others,,,,,,,
2022/3/29,0,0,0,8,Others,,,,,,,
2022/3/30,0,0,0,7,Others,,,,,,,
2022/3/31,0,0,0,8,Others,,,,,,,
2022/4/1,0,0,0,4,Others,,,,,,,
2022/4/2,0,0,0,5,Others,,,,,,,
2022/4/3,0,0,0,5,Others,,,,,,,
2022/4/4,0,0,0,22,Others,,,,,,,
2022/4/5,0,0,0,11,Others,,,,,,,
2022/4/6,0,0,0,17,Others,,,,,,,
2022/4/7,0,0,0,16,Others,,,,,,,
2022/4/8,0,0,0,6,Others,,,,,,,
2022/4/9,0,0,0,22,Others,,,,,,,
2022/4/10,0,0,0,9,Others,,,,,,,
2022/4/11,0,0,0,7,Others,,,,,,,
2022/4/12,0,0,0,7,Others,,,,,,,
2022/4/13,0,0,0,8,Others,,,,,,,
2022/4/14,0,0,0,3,Others,,,,,,,
2022/4/15,0,0,0,3,Others,,,,,,,
2022/4/16,0,0,0,8,Others,,,,,,,
2022/4/17,0,0,0,1,Others,,,,,,,
2022/4/18,0,0,0,5,Others,,,,,,,
2022/4/19,0,0,0,7,Others,,,,,,,
2022/4/20,0,0,0,3,Others,,,,,,,
2022/4/22,0,0,0,8,Others,,,,,,,
2022/4/23,0,0,0,23,Others,,,,,,,
2022/4/24,0,0,0,16,Others,,,,,,,
2022/4/25,0,0,0,16,Others,,,,,,,
2022/4/26,0,0,0,32,Others,,,,,,,
2022/4/27,0,0,0,26,Others,,,,,,,
2022/4/28,0,0,0,27,Others,,,,,,,
2022/4/29,0,0,0,36,Others,,,,,,,
2022/4/30,0,0,0,31,Others,,,,,,,
2022/5/1,0,0,0,19,Others,,,,,,,
2022/5/2,0,0,0,19,Others,,,,,,,
2022/5/3,0,0,0,26,Others,,,,,,,
2022/5/4,0,0,0,23,Others,,,,,,,
2022/5/5,0,0,0,24,Others,,,,,,,
2022/5/6,1,0,0,2,Others,,,,,,,
2022/5/7,0,0,0,17,Others,,,,,,,
2022/5/8,0,0,0,28,Others,,,,,,,
2022/5/9,0,0,0,11,Others,,,,,,,
2022/5/10,0,0,0,11,Others,,,,,,,
2022/5/11,0,0,0,15,Others,,,,,,,
2022/5/12,0,0,0,35,Others,,,,,,,
2022/5/13,1,0,0,16,Others,,,,,,,
2022/5/14,0,0,0,18,Others,,,,,,,
2022/5/15,0,0,0,43,Others,,,,,,,
2022/5/16,1,0,0,45,Others,,,,,,,
2022/5/17,0,0,0,36,Others,,,,,,,
2022/5/18,0,0,0,31,Others,,,,,,,
2022/5/19,0,0,0,28,Others,,,,,,,
2022/5/20,1,0,0,48,Others,,,,,,,
2022/5/21,0,0,0,55,Others,,,,,,,
2022/5/22,0,0,0,45,Others,,,,,,,
2022/5/23,0,0,0,31,Others,,,,,,,
2022/5/24,0,0,0,23,Others,,,,,,,
2022/5/25,0,0,0,28,Others,,,,,,,
2022/5/26,0,0,0,21,Others,,,,,,,
2022/5/27,0,0,0,15,Others,,,,,,,
2022/5/28,0,0,0,18,Others,,,,,,,
2022/5/29,0,0,0,9,Others,,,,,,,
2022/5/30,0,0,0,10,Others,,,,,,,
2022/5/31,1,0,0,22,Others,,,,,,,
2022/6/1,0,0,0,13,Others,,,,,,,
2022/6/2,1,0,0,4,Others,,,,,,,
2022/6/3,2,0,0,12,Others,,,,,,,
2022/6/4,0,0,0,12,Others,,,,,,,
2022/6/5,0,0,0,1,Others,,,,,,,
2022/6/6,0,0,0,4,Others,,,,,,,
2022/6/8,0,0,0,3,Others,,,,,,,
2022/6/9,0,0,0,21,Others,,,,,,,
2022/6/10,1,0,0,31,Others,,,,,,,
2022/6/11,1,0,0,9,Others,,,,,,,
2022/6/12,0,0,0,19,Others,,,,,,,
2022/6/13,2,0,0,15,Others,,,,,,,
2022/6/14,0,0,0,11,Others,,,,,,,
2022/6/15,0,0,0,6,Others,,,,,,,
2022/6/16,2,0,0,4,Others,,,,,,,
2022/6/17,1,0,0,6,Others,,,,,,,
2022/6/19,1,0,0,10,Others,,,,,,,
2022/6/20,2,0,0,5,Others,,,,,,,
2022/6/21,5,0,0,5,BA.5/BF.7/DY,,,,,,,
2022/6/22,2,0,0,3,Others,,,,,,,
2022/6/23,3,0,0,7,Others,,,,,,,
2022/6/24,3,0,0,3,BA.5/BF.7/DY,,,,,,,
2022/6/25,1,0,0,2,Others,,,,,,,
2022/6/26,5,0,0,3,BA.5/BF.7/DY,,,,,,,
2022/6/27,0,0,0,2,Others,,,,,,,
2022/6/28,5,0,0,0,BA.5/BF.7/DY,,,,,,,
2022/6/29,0,0,0,4,Others,,,,,,,
2022/6/30,3,0,0,0,BA.5/BF.7/DY,,,,,,,
2022/7/1,4,0,0,0,BA.5/BF.7/DY,,,,,,,
2022/7/2,1,0,0,0,BA.5/BF.7/DY,,,,,,,
2022/7/3,1,0,0,2,Others,,,,,,,
2022/7/4,5,0,0,4,BA.5/BF.7/DY,,,,,,,
2022/7/5,10,0,0,3,BA.5/BF.7/DY,,,,,,,
2022/7/6,6,0,0,4,BA.5/BF.7/DY,,,,,,,
2022/7/7,1,0,0,2,Others,,,,,,,
2022/7/8,12,0,0,12,BA.5/BF.7/DY,,,,,,,
2022/7/9,5,0,0,7,Others,,,,,,,
2022/7/10,4,0,0,5,Others,,,,,,,
2022/7/11,1,0,0,2,Others,,,,,,,
