Source_Region,Target_Province,Cases (O),Cases per million (O),GDP per capita (O),GDP per capita (D),Pop density (O),Pop density (D),Age upper 65 (O),Age upper 65 (D),Temperature (O),Humidity (O),International travel,Imports
Japan,Guangdong,0.3253773414649379,0.4514912787323164,0.6903545430579872,0.5820647054998797,0.5859665317401135,0.6340425531914894,1.0,0.7035692679975801,0.8866184382163835,0.8504693668228862,0.9042936096296008,5.0
South Korea,Guangdong,0.29961037246004446,0.994509882809003,0.6792596677724283,0.5820647054998797,0.6411953971888407,0.6340425531914894,0.4197552679241948,0.7035692679975801,0.8866184382163835,0.8504693668228862,0.8882763052451971,5.0
USA,Guangdong,1.0,0.5084234321528066,0.8817303470486436,0.5820647054998797,0.28705165370378527,0.6340425531914894,0.485974289879401,0.7035692679975801,0.8866184382163835,0.8504693668228862,0.8696377803804038,1.0
Canada,Guangdong,0.045055566360745106,0.2015198171798937,0.8044235023036836,0.5820647054998797,0.02403473083927957,0.6340425531914894,0.5553739453107746,0.7035692679975801,0.8866184382163835,0.8504693668228862,0.8149858295392258,5.0
France,Guangdong,0.3757482236726039,1.0,0.7353836610971036,0.5820647054998797,0.448380101239992,0.6340425531914894,0.6761496664752397,0.7035692679975801,0.8866184382163835,0.8504693668228862,0.7327250193031969,4.0
Australia,Guangdong,0.10833721219838842,0.7118123428452073,0.8419470855108242,0.5820647054998797,0.0,0.6340425531914894,0.48999425718955686,0.7035692679975801,0.8866184382163835,0.8504693668228862,0.8271438293852721,4.0
Russia,Guangdong,0.2199293603511499,0.261390176719081,0.5048375571975746,0.5820647054998797,0.11260396323511401,0.6340425531914894,0.43141759067014185,0.7035692679975801,0.8866184382163835,0.8504693668228862,0.8216925369013393,1.0
Italy,Guangdong,0.25005605293508126,0.7284909366159475,0.692721953411895,0.5820647054998797,0.5166937260629108,0.6340425531914894,0.8220612271944163,0.7035692679975801,0.8866184382163835,0.8504693668228862,0.7466826629271546,2.0
Hong Kong,Tianjin,0.0,0.0,0.7773653926654053,0.6793719290012513,0.9844495303424121,0.7695035460992907,0.5252904536820251,0.10241984271022384,0.7054301710186764,0.23458646235813405,0.8132554069657985,6.0
Japan,Tianjin,0.3253773414649379,0.4514912787323164,0.6903545430579872,0.6793719290012513,0.5859665317401135,0.7695035460992907,1.0,0.10241984271022384,0.7054301710186764,0.23458646235813405,0.8341091055567121,2.0
South Korea,Tianjin,0.29961037246004446,0.994509882809003,0.6792596677724283,0.6793719290012513,0.6411953971888407,0.7695035460992907,0.4197552679241948,0.10241984271022384,0.7054301710186764,0.23458646235813405,0.7675948188195463,3.0
Canada,Tianjin,0.045055566360745106,0.2015198171798937,0.8044235023036836,0.6793719290012513,0.02403473083927957,0.7695035460992907,0.5553739453107746,0.10241984271022384,0.7054301710186764,0.23458646235813405,0.46450788122741643,2.0
France,Tianjin,0.3757482236726039,1.0,0.7353836610971036,0.6793719290012513,0.448380101239992,0.7695035460992907,0.6761496664752397,0.10241984271022384,0.7054301710186764,0.23458646235813405,0.39105149768627584,3.0
Netherlands,Tianjin,0.0838278776733618,0.8208788794789483,0.8087361977981484,0.6793719290012513,0.6362346517280622,0.7695035460992907,0.634668904890224,0.10241984271022384,0.7054301710186764,0.23458646235813405,0.28115205174029345,1.0
Italy,Tianjin,0.25005605293508126,0.7284909366159475,0.692721953411895,0.6793719290012513,0.5166937260629108,0.7695035460992907,0.8220612271944163,0.10241984271022384,0.7054301710186764,0.23458646235813405,0.6532222595868311,1.0
Denmark,Tianjin,0.03318000740153861,0.9701678284466404,0.8508481332690028,0.6793719290012513,0.46255519373399206,0.7695035460992907,0.6743384724124222,0.10241984271022384,0.7054301710186764,0.23458646235813405,0.11696746185736463,1.0
Ireland,Tianjin,0.016619614918624265,0.5690664404016318,0.9542382301399222,0.6793719290012513,0.37465564487752956,0.7695035460992907,0.4203737244334497,0.10241984271022384,0.7054301710186764,0.23458646235813405,0.058483730928682316,1.0
Hong Kong,Anhui,0.0,0.0,0.7773653926654053,0.35888384300479775,0.9844495303424121,0.37659574468085105,0.5252904536820251,0.5671506352087115,0.6827613910777468,0.5966237331367126,0.6471861826475324,18.0
