Source_Region,Target_Province,Cases (O),Cases per million (O),GDP per capita (O),GDP per capita (D),Pop density (O),Pop density (D),Age upper 65 (O),Age upper 65 (D),Temperature (O),Humidity (O),International travel,Imports
Belgium,Shanghai,0.04672033207823879,0.6214036715336805,0.6801155936773368,0.9614028632883067,0.5961310515580008,0.659338061465721,0.6706549607645095,0.265766969535008,0.9493030864788822,0.8853631811794975,0.6222689859833553,3.0
Croatia,Shanghai,0.01242748847221525,0.47802871427041344,0.34159193076888705,0.9614028632883067,0.3816737092513709,0.659338061465721,0.7154455753243727,0.265766969535008,0.9493030864788822,0.8853631811794975,0.5291052906359148,1.0
Italy,Shanghai,0.2551306943100508,0.6699609993036915,0.5527638576015785,0.9614028632883067,0.5166937260629108,0.659338061465721,0.8435242016937301,0.265766969535008,0.9493030864788822,0.8853631811794975,0.802994767517729,1.0
Luxembourg,Shanghai,0.0037423517691169746,0.8958837519018945,1.0,0.9614028632883067,0.5321588055155148,0.659338061465721,0.5052055007380933,0.265766969535008,0.9493030864788822,0.8853631811794975,0.5113524904639948,1.0
South Korea,Sichuan,0.33423175607983885,1.0,0.5331698099170349,0.29948489022806,0.6411953971888407,0.5307328605200946,0.4897443866055473,1.0,0.4216432633234063,0.9036924385435453,0.8075632647617508,38.0
USA,Sichuan,1.0,0.45827439098658695,0.8278612353336526,0.29948489022806,0.28705165370378527,0.5307328605200946,0.547976070235413,1.0,0.4216432633234063,0.9036924385435453,0.6989167584045423,32.0
Australia,Sichuan,0.11281820133909944,0.6681393654073763,0.769957611499269,0.29948489022806,0.0,0.5307328605200946,0.5515111490948644,1.0,0.4216432633234063,0.9036924385435453,0.7535436709511834,7.0
Japan,Sichuan,0.32680402451239104,0.4087422084270445,0.5493181461818653,0.29948489022806,0.5859665317401135,0.5307328605200946,1.0,1.0,0.4216432633234063,0.9036924385435453,0.8065180309304444,13.0
Singapore,Sichuan,0.026266688821251473,0.7223874018287894,0.8553914806342062,0.29948489022806,1.0,0.5307328605200946,0.45120814233548284,1.0,0.4216432633234063,0.9036924385435453,0.7968175832538463,17.0
Canada,Sichuan,0.045759069044933695,0.1844788222580294,0.715342897598073,0.29948489022806,0.02403473083927957,0.5307328605200946,0.6090047393364929,1.0,0.4216432633234063,0.9036924385435453,0.669037485668915,9.0
Malaysia,Sichuan,0.04969760818943898,0.22701839148099423,0.19447401089117503,0.29948489022806,0.4166149605282221,0.5307328605200946,0.1936912438815943,1.0,0.4216432633234063,0.9036924385435453,0.8050622422710506,13.0
New Zealand,Sichuan,0.023364763047792194,0.698558815613975,0.6707981581553203,0.29948489022806,0.20151535030351075,0.5307328605200946,0.5444409913759614,1.0,0.4216432633234063,0.9036924385435453,0.6063735517324224,9.0
Germany,Sichuan,0.3716060939957856,0.6910165093546327,0.6720932483747688,0.29948489022806,0.5352983245413203,0.5307328605200946,0.7826120736539508,1.0,0.4216432633234063,0.9036924385435453,0.7014909245049358,2.0
France,Sichuan,0.3770174547790903,0.9044083244430647,0.614856993720859,0.29948489022806,0.448380101239992,0.5307328605200946,0.7152124932017715,1.0,0.4216432633234063,0.9036924385435453,0.6076929565830672,2.0
Spain,Sichuan,0.13515824233165538,0.44058300899698805,0.5009216448720594,0.29948489022806,0.4122502638927435,0.5307328605200946,0.7042576334395152,1.0,0.4216432633234063,0.9036924385435453,0.5962080684317584,3.0
United Kingdom,Sichuan,0.23997265036034698,0.5510805054998054,0.6533702892104319,0.29948489022806,0.5539184881648415,0.5307328605200946,0.6685572216610987,1.0,0.4216432633234063,0.9036924385435453,0.7356715681865855,3.0
Denmark,Sichuan,0.033082027292232634,0.8718916857028111,0.7829128821633269,0.29948489022806,0.46255519373399206,0.5307328605200946,0.7136197653639966,1.0,0.4216432633234063,0.9036924385435453,0.5056088440459587,3.0
Russia,Sichuan,0.2253507500698808,0.241415466312915,0.27930243231340424,0.29948489022806,0.11260396323511401,0.5307328605200946,0.5,1.0,0.4216432633234063,0.9036924385435453,0.7423543123635047,1.0
South Africa,Sichuan,0.03937310375204948,0.10191350462654425,0.0,0.29948489022806,0.3222976340997447,0.5307328605200946,0.15682542149017173,1.0,0.4216432633234063,0.9036924385435453,0.5021500530082883,2.0
USA,Tianjin,1.0,0.45827439098658695,0.8278612353336526,0.6793719290012513,0.28705165370378527,0.7695035460992907,0.547976070235413,0.11310796365579903,0.8553402489392752,0.6557521696703148,0.5766033968680881,1.0
USA,Jiangsu,1.0,0.45827439098658695,0.8278612353336526,0.803641928461091,0.28705165370378527,0.2697399527186761,0.547976070235413,0.984233030464992,0.8129395714356749,0.7628787688357054,0.6208881708997019,1.0
Greece,Jiangsu,0.053150246900937,0.7934407834550168,0.38212600943321906,0.803641928461091,0.3979410580521036,0.2697399527186761,0.7415507730557067,0.984233030464992,0.8129395714356749,0.7628787688357054,0.396439344738708,1.0
South Korea,Heilongjiang,0.33423175607983885,1.0,0.5331698099170349,0.09405588934560798,0.6411953971888407,1.0,0.4897443866055473,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.8092546670516081,12.0
USA,Heilongjiang,1.0,0.45827439098658695,0.8278612353336526,0.09405588934560798,0.28705165370378527,1.0,0.547976070235413,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.5152830577997406,12.0
