,Dep Country Name,arr_prov,Total Est. Pax
3229,Spain,Chongqing,9780
2890,Russia,Fujian,9743
3444,Tajikistan,Xinjiang,9733
2382,Nepal,Guangdong,9725
1384,Hungary,Beijing,9655
2828,Qatar,Beijing,9579
2737,Philippines,Henan,9532
1483,Indonesia,Liaoning,9468
1196,Germany,Jiangsu,9440
1492,Indonesia,Tianjin,9427
540,Cambodia,Hunan,9310
2337,Myanmar,Jiangsu,9307
535,Cambodia,Hainan,9291
3813,Vietnam,Heilongjiang,9215
3701,United Arab Emirates,Jiangsu,9211
3809,Vietnam,Guangxi,9209
1856,Laos,Shanghai,9158
1081,France,Fujian,9136
3716,United Arab Emirates,Yunnan,9120
2284,Morocco,Guangdong,9107
3726,United Kingdom,Hainan,9084
1660,Japan,Anhui,9043
1846,Laos,Hunan,9021
548,Cambodia,Shaanxi,9002
2589,Oman,Guangdong,8984
2556,Norway,Beijing,8935
1999,Macao (sar) China,Guangxi,8921
2880,Romania,Shanghai,8882
439,Brunei,Beijing,8872
2916,Russia,Yunnan,8864
153,Austria,Guangdong,8851
3648,USA,Shaanxi,8847
1858,Laos,Sichuan,8814
1847,Laos,Jiangsu,8776
1376,Hong Kong,Shanxi,8759
420,Brazil,Guangdong,8720
3708,United Arab Emirates,Shaanxi,8694
595,Canada,Liaoning,8649
3205,South Korea,Xinjiang,8622
3640,USA,Hunan,8601
1747,Kazakhstan,Zhejiang,8543
3690,United Arab Emirates,Fujian,8532
3499,Thailand,Xinjiang,8491
3821,Vietnam,Neimenggu,8473
2004,Macao (sar) China,Henan,8468
2752,Philippines,Tianjin,8439
2789,Portugal,Beijing,8436
1835,Laos,Chongqing,8432
1359,Hong Kong,Guizhou,8416
2324,Myanmar,Beijing,8411
123,Australia,Guangxi,8294
2299,Morocco,Shanghai,8249
3252,Spain,Sichuan,8206
2831,Qatar,Guangdong,8197
2732,Philippines,Guangxi,8142
1993,Macao (sar) China,Anhui,8120
1361,Hong Kong,Hebei,8108
1738,Kazakhstan,Shaanxi,8056
3761,Uzbekistan,Guangdong,8010
2640,Pakistan,Xinjiang,7998
2468,New Zealand,Shandong,7956
1830,Kyrgyzstan,Xinjiang,7954
3577,Turkey,Hubei,7913
2512,Nigeria,Shanghai,7913
2280,Morocco,Beijing,7908
1061,Finland,Henan,7880
2001,Macao (sar) China,Hainan,7857
244,Bangladesh,Beijing,7852
1185,Germany,Fujian,7831
600,Canada,Shandong,7725
2914,Russia,Xinjiang,7721
127,Australia,Heilongjiang,7702
1684,Japan,Shanxi,7662
2743,Philippines,Liaoning,7520
1413,Hungary,Zhejiang,7482
3638,USA,Henan,7479
1154,Georgia,Beijing,7479
828,Czech Republic,Shanghai,7422
